"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_id,persnet_survey,,text,study_id,,,,,,y,,,,,,,
infosheet_text,persnet_survey,,descriptive,"<span style = ""font-weight:lighter"">We have included here for your review the Football Players Health Study Personal Network Study Informed<br/> Consent Sheet.

This document contains more information about the study and may help to answer any other questions you<br/> might have before completing the survey. 

<b>Please review this document before taking part in the study.</b>
</span>",,,,,,,,,,,,,
participate_text,persnet_survey,,descriptive,"<u>How do I agree to participate</u>?

<span style = ""font-weight:lighter"">After reviewing the Informed Consent document, if you continue with this survey and submit your answers,<br/> you are saying that:

<b><ol><li></b>You agree to take part in this research</li><li>You feel like you understand what you are getting into</li><li>You understand that you are free to leave the study at any time</li></ol>
</font>",,,,,,,,,,,,,
age,persnet_survey,"<font size = 3><u>Tell us a little about yourself!</u></font>",text,"Your Age",,,integer,,120,,,,,,,,
race,persnet_survey,,checkbox,"Race <br/><span style = ""font-weight:lighter; font-style:italic"">(Select all that apply)</span>","1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 88, Skip question",,,,,,,,,,,,
ethnicity,persnet_survey,,radio,Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 99, Unknown | 88, Skip question",,,,,,,,,,,,
edu,persnet_survey,,dropdown,"Education level","1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 88, Prefer not to answer",,,,,,,,,,,,
zip,persnet_survey,,text,"Your Zip Code",,,zipcode,,,y,,,,,,,
employment,persnet_survey,,checkbox,"Are you currently employed? <br/><span style = ""font-weight:lighter;font-style:italic"">(Select all that apply)</span>","1, Yes - I work in Football | 2, Yes - I work outside of Football | 3, Retired | 0, No | 4, Student | 5, Looking for work",,,,,,,,,,cur_employement,,"Working in football means any level--coach, scout, administration, other."
occupation,persnet_survey,,dropdown,"Current Occupation","1, Executive, manager | 2, Sales or clerical worker | 3, Mechanic, electrician, skilled worker | 4, Machine operator, inspector, bus/cab driver | 5, Service worker (e.g., janitor, guard) | 6, Professional (e.g., nurse, lawyer, teacher, etc.) | 7, Business owner | 8, Laborer, unskilled worker | 9, Farming | 10, Military | 77, Other",,,,,,"[employment(2)] = '1'",,,,,,
income,persnet_survey,,dropdown,"What is your approximate household net worth?

","1, less than $5,000 | 2, $5,000 to $49,000 | 3, $50,000 to $169,000 | 4, $170,000 to $499,000 | 5, more than $500,000","This is the value of all the assets of people in your household <br/> (like housing, cars, stock, retirement funds, and business <br/> ownership) minus any debt or loans you and household members <br/> may have (like mortgages, credit card debt or car, school, or <br/> business loans). This does not include your regular income.",,,,,,,,,,,
