Field,Type,Question Number,Key,Description
persnet_id,integer,NA,-,Personal Network ID
dob,Datetime ('YYYY-MM-DD'),Q1,-,"Date of birth, if dob was blank filled with profootballreference.com"
startplay_age,integer,Q9,-,Age started playing
num_seasons,integer,Q10,-,Number of seasons played
position___1,integer,Q13,"1 = Yes, 0 = No","position player has played (checkbox, binary), Offensive Line"
position___2,integer,Q13,"1 = Yes, 0 = No","position player has played (checkbox, binary), Defensive Line"
position___3,integer,Q13,"1 = Yes, 0 = No","position player has played (checkbox, binary), Linebacker"
position___4,integer,Q13,"1 = Yes, 0 = No","position player has played (checkbox, binary), Defensive Back"
position___5,integer,Q13,"1 = Yes, 0 = No","position player has played (checkbox, binary), Running Back"
position___6,integer,Q13,"1 = Yes, 0 = No","position player has played (checkbox, binary), Wide Receiver"
position___7,integer,Q13,"1 = Yes, 0 = No","position player has played (checkbox, binary), Tight End"
position___8,integer,Q13,"1 = Yes, 0 = No","position player has played (checkbox, binary), Quarterback"
position___9,integer,Q13,"1 = Yes, 0 = No","position player has played (checkbox, binary), Kicker/Punter"
position___10,integer,Q13,"1 = Yes, 0 = No","position player has played (checkbox, binary), Special Teams"
promis1,integer,Q14," 5=Excellent, 4=Very Good, 3=Good, 2=Fair, 1=Poor","In general, would you say your health is"
promis2,integer,Q15," 5=Excellent, 4=Very Good, 3=Good, 2=Fair, 1=Poor","In general, would you say your quality of life is"
promis3,integer,Q16," 5=Excellent, 4=Very Good, 3=Good, 2=Fair, 1=Poor","In general, how would you rate your physical health"
promis4,integer,Q17," 5=Excellent, 4=Very Good, 3=Good, 2=Fair, 1=Poor","In general how would you rate your mental health, including your mood and ability to think"
promis5,integer,Q18," 5=Excellent, 4=Very Good, 3=Good, 2=Fair, 1=Poor","In general, how would you rate your satisfaction with your social activities and relationships"
promis6,integer,Q19," 5=Excellent, 4=Very Good, 3=Good, 2=Fair, 1=Poor","To what extent are you able to carry out everyday activities such as walking, climbing stairs, or carrying groceries"
promis7,integer,Q20," 5=Excellent, 4=Very Good, 3=Good, 2=Fair, 1=Poor","In the past 7 days, how would you rate your pain on average"
promis8,integer,Q21," 5=Excellent, 4=Very Good, 3=Good, 2=Fair, 1=Poor","In the past 7 days, how would you rate your fatigue on average"
promis9,integer,Q22," 5=Excellent, 4=Very Good, 3=Good, 2=Fair, 1=Poor","In the past 7 days, how ofter have you been bothered by emotional problems such as feeling anxious, depressed or irritable"
nqcog1,integer,Q46,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, I had to read something several times to understand it"
nqcog2,integer,Q47,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, I had trouble keeping track of what I was doing if I was interrupted"
nqcog3,integer,Q48,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, I had difficulty doing more than one thing at a time"
nqcog4,integer,Q49,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, I had trouble remembering new information, like phone numbers or simple instructions"
nqcog5,integer,Q50,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, I had trouble thinking clearly"
nqcog6,integer,Q51,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, my thinking was slow"
nqcog7,integer,Q52,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, I had to work really hard to pay attention or I would make a mistake"
nqcog8,integer,Q53,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, I had trouble concentration"
nqcog9,integer,Q54,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, I had trouble remembering whether I did things I was supposed to do"
nqcog10,integer,Q55,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, I had trouble making decisions"
